Compound Sentiment Score,sentiment change,date
0.4084,-0.03200000000000003,2014-03-20
0.4019,-0.006500000000000006,2014-03-21
0.4404,0.038500000000000034,2014-03-22
0.40085,-0.03955000000000003,2014-03-23
0.4404,0.03955000000000003,2014-03-24
0.4272,-0.01319999999999999,2014-03-25
0.4404,0.01319999999999999,2014-03-26
0.4019,-0.038500000000000034,2014-03-27
0.4019,0.0,2014-03-28
0.4019,0.0,2014-03-29
0.3182,-0.0837,2014-03-30
0.4575,0.13930000000000003,2014-03-31
0.4019,-0.05560000000000004,2014-04-01
0.4404,0.038500000000000034,2014-04-02
0.4019,-0.038500000000000034,2014-04-03
0.4404,0.038500000000000034,2014-04-04
0.4926,0.05219999999999997,2014-04-05
0.4019,-0.0907,2014-04-06
0.40515,0.0032500000000000306,2014-04-07
0.4926,0.08744999999999997,2014-04-08
0.4019,-0.0907,2014-04-09
0.4019,0.0,2014-04-10
0.4019,0.0,2014-04-11
0.34,-0.061899999999999955,2014-04-12
0.5069,0.1669,2014-04-13
0.4019,-0.10500000000000004,2014-04-14
0.4019,0.0,2014-04-15
0.4019,0.0,2014-04-16
0.4049,0.0030000000000000027,2014-04-17
0.4019,-0.0030000000000000027,2014-04-18
0.5103,0.1084,2014-04-19
0.4019,-0.1084,2014-04-20
0.4019,0.0,2014-04-21
0.4215,0.019600000000000006,2014-04-22
0.49675,0.07525000000000004,2014-04-23
0.4404,-0.05635000000000001,2014-04-24
0.4404,0.0,2014-04-25
0.4019,-0.038500000000000034,2014-04-26
0.4019,0.0,2014-04-27
0.4404,0.038500000000000034,2014-04-28
0.4576,0.017199999999999993,2014-04-29
0.2143,-0.24330000000000002,2014-04-30
0.4019,0.1876,2014-05-01
0.5106,0.10870000000000007,2014-05-02
0.3089,-0.20170000000000005,2014-05-03
0.44815000000000005,0.13925000000000004,2014-05-04
0.4854,0.03724999999999995,2014-05-05
0.4019,-0.08350000000000002,2014-05-06
0.4019,0.0,2014-05-07
0.4019,0.0,2014-05-08
0.4404,0.038500000000000034,2014-05-09
0.4019,-0.038500000000000034,2014-05-10
0.4404,0.038500000000000034,2014-05-11
0.3182,-0.12220000000000003,2014-05-12
0.4588,0.1406,2014-05-13
0.53015,0.07135000000000002,2014-05-14
0.4404,-0.08975,2014-05-15
0.4404,0.0,2014-05-16
0.4215,-0.018900000000000028,2014-05-17
0.4019,-0.019600000000000006,2014-05-18
0.4019,0.0,2014-05-19
0.4404,0.038500000000000034,2014-05-20
0.4019,-0.038500000000000034,2014-05-21
0.4404,0.038500000000000034,2014-05-22
0.4404,0.0,2014-05-23
0.3291,-0.11130000000000001,2014-05-24
0.4173,0.0882,2014-05-25
0.4019,-0.015400000000000025,2014-05-26
0.4939,0.09200000000000003,2014-05-27
0.4019,-0.09200000000000003,2014-05-28
0.45865,0.05675000000000002,2014-05-29
0.43095,-0.027700000000000002,2014-05-30
0.5106,0.07965000000000005,2014-05-31
0.50495,-0.005650000000000044,2014-06-01
0.3979,-0.10705000000000003,2014-06-02
0.3612,-0.036699999999999955,2014-06-03
0.3544,-0.006800000000000028,2014-06-04
0.4588,0.10439999999999999,2014-06-05
0.4515,-0.007299999999999973,2014-06-06
0.4215,-0.030000000000000027,2014-06-07
0.4019,-0.019600000000000006,2014-06-08
0.4404,0.038500000000000034,2014-06-09
0.3612,-0.07919999999999999,2014-06-10
0.4019,0.04069999999999996,2014-06-11
0.43095,0.02905000000000002,2014-06-12
0.439,0.008050000000000002,2014-06-13
0.4199,-0.019100000000000006,2014-06-14
0.4019,-0.018000000000000016,2014-06-15
0.381,-0.020899999999999974,2014-06-16
0.3387,-0.042300000000000004,2014-06-17
0.4939,0.1552,2014-06-18
0.4215,-0.07240000000000002,2014-06-19
0.41045,-0.011050000000000004,2014-06-20
0.3612,-0.04924999999999996,2014-06-21
0.4215,0.060299999999999965,2014-06-22
0.4215,0.0,2014-06-23
0.3612,-0.060299999999999965,2014-06-24
0.42545,0.06424999999999997,2014-06-25
0.1779,-0.24755,2014-06-26
0.4019,0.22399999999999998,2014-06-27
0.3382,-0.06369999999999998,2014-06-28
0.4019,0.06369999999999998,2014-06-29
0.4404,0.038500000000000034,2014-06-30
0.3182,-0.12220000000000003,2014-07-01
0.4404,0.12220000000000003,2014-07-02
0.3944,-0.04600000000000004,2014-07-03
0.1026,-0.29179999999999995,2014-07-04
0.31720000000000004,0.21460000000000004,2014-07-05
0.2732,-0.04400000000000004,2014-07-06
0.2732,0.0,2014-07-07
0.41415,0.14095000000000002,2014-07-08
0.36045000000000005,-0.05369999999999997,2014-07-09
0.2263,-0.13415000000000005,2014-07-10
0.4215,0.19519999999999998,2014-07-11
0.42069999999999996,-0.0008000000000000229,2014-07-12
0.3506,-0.07009999999999994,2014-07-13
0.4215,0.07089999999999996,2014-07-14
0.2992,-0.12229999999999996,2014-07-15
0.3751,0.07589999999999997,2014-07-16
0.45365,0.07855000000000001,2014-07-17
0.3818,-0.07185000000000002,2014-07-18
0.3612,-0.02059999999999995,2014-07-19
0.4019,0.04069999999999996,2014-07-20
0.3612,-0.04069999999999996,2014-07-21
0.3818,0.02059999999999995,2014-07-22
0.1901,-0.19169999999999998,2014-07-23
0.4184,0.2283,2014-07-24
0.43095,0.012550000000000006,2014-07-25
0.3182,-0.11275000000000002,2014-07-26
0.5473,0.22910000000000003,2014-07-27
0.48985,-0.05745,2014-07-28
0.27435,-0.21550000000000002,2014-07-29
0.3715,0.09715000000000001,2014-07-30
0.3502,-0.021299999999999986,2014-07-31
0.54545,0.19524999999999998,2014-08-01
0.3919,-0.15354999999999996,2014-08-02
0.296,-0.09590000000000004,2014-08-03
0.43705,0.14105,2014-08-04
0.4404,0.0033500000000000196,2014-08-05
0.3919,-0.04849999999999999,2014-08-06
0.4114,0.019499999999999962,2014-08-07
0.32935000000000003,-0.08204999999999996,2014-08-08
0.3777,0.04834999999999995,2014-08-09
0.449,0.07130000000000003,2014-08-10
0.2414,-0.2076,2014-08-11
0.296,0.05459999999999998,2014-08-12
0.41169999999999995,0.11569999999999997,2014-08-13
0.3715,-0.04019999999999996,2014-08-14
0.2023,-0.1692,2014-08-15
0.44889999999999997,0.24659999999999996,2014-08-16
0.4019,-0.046999999999999986,2014-08-17
0.34,-0.061899999999999955,2014-08-18
0.504,0.16399999999999998,2014-08-19
0.4671,-0.03689999999999999,2014-08-20
0.4496,-0.017500000000000016,2014-08-21
0.4404,-0.009199999999999986,2014-08-22
0.3538,-0.08660000000000001,2014-08-23
0.5334000000000001,0.1796000000000001,2014-08-24
0.4215,-0.11190000000000011,2014-08-25
0.4404,0.018900000000000028,2014-08-26
0.4019,-0.038500000000000034,2014-08-27
0.4574,0.055499999999999994,2014-08-28
0.4215,-0.03589999999999999,2014-08-29
0.47304999999999997,0.051549999999999985,2014-08-30
0.4754,0.0023500000000000187,2014-08-31
0.4767,0.0013000000000000234,2014-09-01
0.44945,-0.027249999999999996,2014-09-02
0.43095,-0.018500000000000016,2014-09-03
0.5204,0.08944999999999997,2014-09-04
0.4404,-0.07999999999999996,2014-09-05
0.4215,-0.018900000000000028,2014-09-06
0.48405,0.06255,2014-09-07
0.4215,-0.06255,2014-09-08
0.3506,-0.07089999999999996,2014-09-09
0.4019,0.05129999999999996,2014-09-10
0.5251,0.12320000000000003,2014-09-11
0.4019,-0.12320000000000003,2014-09-12
0.4255,0.02360000000000001,2014-09-13
0.49324999999999997,0.06774999999999998,2014-09-14
0.46704999999999997,-0.0262,2014-09-15
0.34,-0.12704999999999994,2014-09-16
0.4574,0.11739999999999995,2014-09-17
0.28459999999999996,-0.1728,2014-09-18
0.3382,0.053600000000000037,2014-09-19
0.4019,0.06369999999999998,2014-09-20
0.0772,-0.3247,2014-09-21
0.4588,0.3816,2014-09-22
0.3612,-0.09759999999999996,2014-09-23
0.43095,0.06974999999999998,2014-09-24
0.2263,-0.20465,2014-09-25
0.4019,0.17559999999999998,2014-09-26
0.30535,-0.09654999999999997,2014-09-27
0.3819,0.07655,2014-09-28
0.3,-0.08190000000000003,2014-09-29
0.4526,0.1526,2014-09-30
0.3609,-0.0917,2014-10-01
0.5094,0.14849999999999997,2014-10-02
0.45365,-0.055749999999999966,2014-10-03
0.3612,-0.09244999999999998,2014-10-04
0.38155,0.02034999999999998,2014-10-05
0.4215,0.039949999999999986,2014-10-06
0.6054,0.18390000000000006,2014-10-07
0.253,-0.35240000000000005,2014-10-08
0.3818,0.12879999999999997,2014-10-09
0.3447,-0.037099999999999966,2014-10-10
0.54255,0.19784999999999997,2014-10-11
-0.0258,-0.56835,2014-10-12
0.4926,0.5184,2014-10-13
0.44015,-0.05245,2014-10-14
0.4019,-0.038250000000000006,2014-10-15
0.4404,0.038500000000000034,2014-10-16
0.2732,-0.16720000000000002,2014-10-17
0.4404,0.16720000000000002,2014-10-18
0.4019,-0.038500000000000034,2014-10-19
-0.1531,-0.5549999999999999,2014-10-20
0.5369999999999999,0.6900999999999999,2014-10-21
0.28459999999999996,-0.25239999999999996,2014-10-22
0.4084,0.12380000000000002,2014-10-23
0.3506,-0.05779999999999996,2014-10-24
0.1124,-0.23820000000000002,2014-10-25
0.4215,0.3091,2014-10-26
0.5106,0.08910000000000007,2014-10-27
0.24885000000000002,-0.26175000000000004,2014-10-28
0.4496,0.20074999999999998,2014-10-29
0.4588,0.009199999999999986,2014-10-30
0.4583,-0.0005000000000000004,2014-10-31
-0.0191,-0.4774,2014-11-01
0.4588,0.4779,2014-11-02
0.49075,0.031950000000000034,2014-11-03
0.4404,-0.050350000000000006,2014-11-04
0.4588,0.018399999999999972,2014-11-05
0.47104999999999997,0.012249999999999983,2014-11-06
0.34,-0.13104999999999994,2014-11-07
0.7351,0.39509999999999995,2014-11-08
0.5848,-0.1503,2014-11-09
0.23245,-0.35235,2014-11-10
0.3182,0.08574999999999999,2014-11-11
0.5103,0.1921,2014-11-12
0.5096499999999999,-0.0006500000000000394,2014-11-13
0.5242,0.014550000000000063,2014-11-14
0.5994,0.07520000000000004,2014-11-15
0.4404,-0.15900000000000003,2014-11-16
0.6297,0.18930000000000002,2014-11-17
0.43095,-0.19875000000000004,2014-11-18
0.41245,-0.018500000000000016,2014-11-19
0.06964999999999999,-0.3428,2014-11-20
